,DIVIDENDID,EXDATE,PAYDATE,RECORDDATE,ANNOUNCEDDATE,DIVAMOUNT,TRADINGITEMID,EXCHANGEID,CURRENCYID,DIVFREQTYPEID,DIVIDENDTYPEID,SUPPLEMENTALTYPEID,NETAMOUNT,GROSSAMOUNT,DIVIDENDPAYMENTTYPEID,DIVIDENDPAYMENTTYPENAME,SUPPLEMENTALTYPEID,SUPPLEMENTALTYPENAME
35,10626856,2026-01-27,2026-01-29,2026-01-27,2025-12-09,0.00856,27666968,117.0,160.0,1.0,1,1.0,,0.00856,1.0,Cash,1.0,Regular cash dividend
36,10626855,2026-01-27,2026-01-29,2026-01-27,2025-12-10,0.035,27666967,117.0,160.0,1.0,1,1.0,,0.035,1.0,Cash,1.0,Regular cash dividend
37,10624173,2026-01-22,2026-01-26,2026-01-22,2026-01-21,0.16,539640972,117.0,160.0,1.0,1,1.0,,0.16,1.0,Cash,1.0,Regular cash dividend
38,10623174,2026-01-21,2026-01-30,2026-01-21,2026-01-03,0.0775,571285487,117.0,160.0,1.0,1,1.0,,0.0775,1.0,Cash,1.0,Regular cash dividend
39,10623188,2026-01-21,2026-01-30,2026-01-21,2026-01-03,0.09,569872468,117.0,160.0,1.0,1,1.0,,0.09,1.0,Cash,1.0,Regular cash dividend
40,10622787,2026-01-21,2026-01-30,2026-01-21,2026-01-20,0.174,311141353,104.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
41,10623165,2026-01-21,2026-01-23,2026-01-21,2025-12-15,0.041912,1758603775,117.0,160.0,1.0,1,1.0,,0.041912,1.0,Cash,1.0,Regular cash dividend
42,10623166,2026-01-21,2026-01-23,2026-01-21,2025-12-15,0.043786,1758603772,117.0,160.0,1.0,1,1.0,,0.043786,1.0,Cash,1.0,Regular cash dividend
43,10622789,2026-01-21,2026-01-30,2026-01-21,2026-01-20,0.17,275971923,104.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
44,10622774,2026-01-21,2026-01-30,2026-01-21,2026-01-20,0.24,207420205,104.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
45,10623183,2026-01-21,2026-01-30,2026-01-21,2026-01-03,0.0683,225219058,117.0,160.0,1.0,1,1.0,,0.0683,1.0,Cash,1.0,Regular cash dividend
46,10623185,2026-01-21,2026-01-30,2026-01-21,2026-01-03,0.053,579972166,117.0,160.0,1.0,1,1.0,,0.053,1.0,Cash,1.0,Regular cash dividend
47,10622791,2026-01-21,2026-01-30,2026-01-21,2026-01-20,0.045,315991957,104.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
48,10622775,2026-01-21,2026-01-30,2026-01-21,2026-01-20,0.23,229097696,104.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
49,10623180,2026-01-21,2026-01-30,2026-01-21,2026-01-03,0.085,1837350028,117.0,160.0,1.0,1,1.0,,0.085,1.0,Cash,1.0,Regular cash dividend
50,10623168,2026-01-21,2026-01-22,2026-01-21,2026-01-20,0.1198315,274605383,117.0,160.0,1.0,1,1.0,,0.1198315,1.0,Cash,1.0,Regular cash dividend
51,10622794,2026-01-21,2026-01-30,2026-01-21,2026-01-20,0.165,412887650,104.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
52,10622785,2026-01-21,2026-01-30,2026-01-21,2026-01-20,0.154,263962861,104.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
53,10621661,2026-01-20,2026-01-23,2026-01-20,2025-12-30,0.07698,37982729,117.0,160.0,1.0,1,1.0,,0.07698,1.0,Cash,1.0,Regular cash dividend
54,10621647,2026-01-20,2026-01-23,2026-01-20,2026-01-16,0.3597,433831271,117.0,160.0,1.0,1,1.0,,0.3597,1.0,Cash,1.0,Regular cash dividend
55,10621603,2026-01-20,2026-01-23,2026-01-20,2025-12-31,0.10835,37982827,117.0,160.0,1.0,1,1.0,,0.10835,1.0,Cash,1.0,Regular cash dividend
56,10622002,2026-01-20,2026-01-23,2026-01-20,,0.08871,37982789,104.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
57,10621598,2026-01-20,2026-01-23,2026-01-20,2025-12-31,0.07312,38294159,117.0,160.0,1.0,1,1.0,,0.07312,1.0,Cash,1.0,Regular cash dividend
58,10622004,2026-01-20,2026-01-23,2026-01-20,,0.12532,116573031,104.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
59,10621662,2026-01-20,2026-01-23,2026-01-20,2026-01-03,0.13474,131732248,117.0,160.0,1.0,1,1.0,,0.13474,1.0,Cash,1.0,Regular cash dividend
